x;y;imb_id;num_voie;cp_no_voie;type_voie;nom_voie;batiment;code_insee;code_poste;nom_com;catg_loc_imb;imb_etat;pm_ref;pm_etat;code_l331;geom_mod;type_imb;date_completude;date_completude_manquante;latitude;longitude;result_label;result_score;result_score_next;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode;result_oldcitycode;result_oldcity;result_district;result_status
55,2979131;-21,11536851;974230028J-73;73;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.115342;55.297889;73 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00073;73;73 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29776605;-21,11557478;974230028J-75;75;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.11561;55.297694;75 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00075;75;75 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29767901;-21,11563714;974230028J-75A;75;A;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.115237;55.298049;Chemin des Bambous 97426 Les Trois-Bassins;0.8606094071146244;;street;97423_0028;;Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29773687;-21,11560159;974230028J-75B;75;B;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.115237;55.298049;Chemin des Bambous 97426 Les Trois-Bassins;0.8606094071146244;;street;97423_0028;;Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29722291;-21,11595773;974230028J-77;77;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.11598;55.29725;77 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00077;77;77 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29674086;-21,11594385;974230028J-83;83;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.115923;55.296747;83 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00083;83;83 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,2977009;-21,11453539;974230028J-85;85;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.116139;55.296456;85 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00085;85;85 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,29677707;-21,11619713;974230028J-87;87;;Chemin;DES BAMBOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;-21.116074;55.296943;87 Chemin des Bambous 97426 Les Trois-Bassins;0.9594236363636363;;housenumber;97423_0028_00087;87;87 Chemin des Bambous;Chemin des Bambous;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,25710015;-21,11103357;974230029K-11;11;;Allee;DES BAOBABS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBAA;deploye;REUN;f;PA;2018-06-29;f;-21.111055;55.257155;11 Allée des Baobabs 97426 Les Trois-Bassins;0.9537290909090909;;housenumber;97423_0029_00011;11;11 Allée des Baobabs;Allée des Baobabs;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
55,25655099;-21,11112728;974230029K-7;7;;Allee;DES BAOBABS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBAA;deploye;REUN;f;PA;2018-06-29;f;-21.111145;55.256492;7 Allée des Baobabs 97426 Les Trois-Bassins;0.9537290909090909;;housenumber;97423_0029_00007;7;7 Allée des Baobabs;Allée des Baobabs;97426;Les Trois-Bassins;974, La Réunion;97423;;;;ok
