;x;y;imb_id;num_voie;cp_no_voie;type_voie;nom_voie;batiment;code_insee;code_poste;nom_com;catg_loc_imb;imb_etat;pm_ref;pm_etat;code_l331;geom_mod;type_imb;date_completude;date_completude_manquante;error;error_type
2874;55.306094941923;-21.1043313852843;97423-IXSCO;7;;Chemin;COL DE CYGNE;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBJA;deploye;REUN;f;PA;2019-02-26;f;False;
2875;55.2883498851927;-21.1073596905233;97423-IY8IV;40;A;Chemin;GABRIEL MAREUIL;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBEA;deploye;REUN;f;PA;2017-08-29;f;False;
2876;55.3047039246;-21.1081563293813;97423-J0X5X;7;;Impasse;DES TREFLES;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBGA;deploye;REUN;f;PA;2017-08-04;f;False;
2877;55.2647288728617;-21.1213546368503;97423-JA3XM;18;;Chemin;DES BOUDOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBAA;deploye;REUN;f;PA;2018-06-29;f;False;
2878;55.2913741290069;-21.1264036779752;97423-JFPBM;19;;Chemin;DES ORCHIDEES;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBLA;deploye;REUN;f;PA;2022-01-14;f;False;
2879;55.3010529371786;-21.116488447115;97423-JIKP9;3;A;Chemin;MAROCAIN;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
2880;55.3045331229137;-21.1087869018031;97423-JL5KF;20;;Rue;DES IRIS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBGA;deploye;REUN;f;PA;2017-08-04;f;False;
2881;55.2645929621901;-21.1214526013773;97423-JUUJ8;18;D;Chemin;DES BOUDOUS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBAA;deploye;REUN;f;PA;2018-06-29;f;False;
2882;55.3046739943231;-21.1048591360594;97423-JZIL7;7;;Allee;NOEL DESPLAS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBJA;deploye;REUN;f;PA;2019-02-26;f;False;
2883;55.2993149152868;-21.1182188112655;97423-K4VZU;32;;Chemin;VABOIS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBKA;deploye;REUN;f;PA;2022-01-17;f;False;
2884;55.2890509507315;-21.1088119734009;97423-K7R42;65;;Chemin;GABRIEL MAREUIL;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBDA;deploye;REUN;f;PA;2020-10-05;f;False;
2885;55.3046990003069;-21.1085898441824;97423-KIP2X;10;;Rue;DES IRIS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBGA;deploye;REUN;f;PA;2017-08-04;f;False;
2886;55.286936057477;-21.1105880827885;97423-KRDIY;13;;Chemin;CAP DU CHAT;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBDA;deploye;REUN;f;PA;2020-10-05;f;False;
2887;55.3050001290339;-21.1083760738115;97423-KRMUY;3;;Rue;DES IRIS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBGA;deploye;REUN;f;PA;2017-08-04;f;False;
2888;55.2965018735455;-21.1023835819667;97423-KY93R;12;;Impasse;DE LA DISTILLERIE;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBIA;deploye;REUN;f;PA;2017-08-03;f;False;
2889;55.2856992958922;-21.1079290497809;97423-L032G;10;;Chemin;DES MIMOSAS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBDA;deploye;REUN;f;PA;2020-10-05;f;False;
2890;55.3081140148819;-21.1037373316332;97423-L3YOC;1;;Chemin;FOND GASPARD;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBJA;deploye;REUN;f;PA;2019-02-26;f;False;
2891;55.2919318961687;-21.1088003846318;97423-L5CKE;106;C;Rue;DU TOURING HOTEL;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBEA;deploye;REUN;f;PA;2017-08-29;f;False;
2892;55.2913320839017;-21.1016270177186;97423-L5EWG;1;B;Allee;DES ANTHURIUMS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBHA;deploye;REUN;f;PA;2017-08-29;f;False;
2893;55.3058091033694;-21.108393194478;97423-L81JY;6;;Impasse;DES PIPANGAILLES;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBGA;deploye;REUN;f;PA;2017-08-04;f;False;
2894;55.3045521262542;-21.0994067491551;97423-L9DUS;6;;Allee;DES AUBEPINES;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBJA;deploye;REUN;f;PA;2019-02-26;f;False;
2895;55.2996922957421;-21.1023388330287;97423-LES2Q;18;A;Chemin;MNEMONIDE;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBIA;deploye;REUN;f;PA;2017-08-03;f;False;
2896;55.2911488506695;-21.1099080097919;97423-LLJZV;120;B;Rue;DU TOURING HOTEL;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBEA;deploye;REUN;f;PA;2017-08-29;f;False;
2897;55.3034929484511;-21.1046305384098;97423-LO4JT;13;;Allee;NOEL DESPLAS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBJA;deploye;REUN;f;PA;2019-02-26;f;False;
2898;55.2706780829485;-21.12721430375;97423-LOTJJ;17;;Chemin;DES BANANIERS;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBBA;deploye;REUN;f;PA;2018-10-18;f;False;
2899;55.2697970403261;-21.1243781504585;97423-LW3QS;1;Z;Impasse;SAVANE;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBBA;deploye;REUN;f;PA;2018-10-18;f;False;
2900;55.2708239998196;-21.1238150765519;97423-LZ0KF;13;;Impasse;SAVANE;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBBA;deploye;REUN;f;PA;2018-10-18;f;False;
2901;55.3050401208604;-21.1048808624379;97423-M39SR;103;B;Rue;HENRI AUBER;;97423;97426;Les Trois-Bassins;individuel;deploye;RU-97423-TBJA;deploye;REUN;f;PA;2019-02-26;f;False;
